Age,Gender,Daily_Steps,Resting_Heart_Rate,Active_Heart_Rate,Hours_of_Sleep,Daily_Calorie_Intake,Stress_Level,Sleep_Quality,Daily_Activity_Type,Mood
29.0,Female,4673.0,58.0,91.0,7.3,2832.0,10.0,48.0,Sedentary,Neutral
47.0,Male,11892.0,53.0,115.0,7.4,4000.0,8.0,63.0,Sedentary,Happy
39.0,Male,5896.0,52.0,133.0,7.6,3095.0,8.0,60.0,Sedentary,Neutral
18.0,Male,4097.0,73.0,114.0,7.2,2707.0,8.0,71.0,Sedentary,Neutral
38.0,Female,8121.0,62.0,130.0,6.6,4000.0,8.0,54.0,Intense,Happy
30.0,Male,5555.0,64.0,98.0,,3037.0,4.0,87.0,Moderate,Happy
26.0,Male,5551.0,72.0,90.0,7.5,3057.0,9.0,54.0,Sedentary,Happy
42.0,Female,7816.0,69.0,120.0,6.8,3766.0,8.0,67.0,Moderate,Happy
47.0,Male,6069.0,66.0,87.0,5.2,3391.0,0.0,100.0,Intense,Happy
46.0,Male,2999.0,75.0,138.0,10.2,2301.0,4.0,77.0,Sedentary,Happy
24.0,Female,9675.0,54.0,108.0,7.0,4000.0,9.0,60.0,Moderate,Neutral
31.0,Male,10597.0,62.0,125.0,5.1,4000.0,5.0,67.0,Moderate,Neutral
38.0,Male,7248.0,72.0,138.0,5.1,3690.0,7.0,58.0,Sedentary,Neutral
46.0,Female,9860.0,79.0,120.0,5.1,4000.0,10.0,44.0,Sedentary,Neutral
29.0,Male,6893.0,80.0,107.0,5.4,3664.0,9.0,55.0,Intense,Neutral
32.0,Female,2270.0,55.0,109.0,8.4,2173.0,8.0,59.0,Sedentary,Happy
21.0,Female,10689.0,65.0,124.0,8.7,4000.0,8.0,58.0,Intense,Happy
20.0,Male,7702.0,68.0,106.0,6.8,3630.0,4.0,80.0,Moderate,Happy
44.0,Female,8452.0,63.0,117.0,7.8,3984.0,6.0,65.0,Sedentary,Happy
51.0,Male,7681.0,70.0,120.0,7.7,3851.0,7.0,68.0,Moderate,Neutral
34.0,Male,7455.0,83.0,114.0,6.4,3665.0,10.0,61.0,Intense,Happy
47.0,Female,8426.0,57.0,89.0,9.2,3938.0,8.0,57.0,Intense,Neutral
39.0,Male,8483.0,54.0,124.0,5.1,3937.0,7.0,59.0,Moderate,Neutral
27.0,Female,11790.0,70.0,128.0,7.7,4000.0,5.0,73.0,Sedentary,Neutral
39.0,Male,9314.0,61.0,106.0,8.0,4000.0,5.0,85.0,Intense,Happy
53.0,Female,11529.0,70.0,124.0,5.9,4000.0,5.0,66.0,Sedentary,Happy
34.0,Female,12521.0,66.0,112.0,8.8,4000.0,5.0,76.0,Intense,Happy
53.0,Male,3165.0,63.0,93.0,5.5,2469.0,3.0,79.0,Moderate,Neutral
18.0,Female,11830.0,59.0,111.0,7.3,4000.0,8.0,51.0,Sedentary,Neutral
44.0,Female,9959.0,65.0,93.0,6.8,4000.0,3.0,89.0,Sedentary,Happy
36.0,Female,9465.0,61.0,122.0,5.2,4000.0,0.0,100.0,Moderate,Neutral
31.0,Male,10968.0,73.0,131.0,8.4,4000.0,1.0,83.0,Moderate,Neutral
36.0,Female,7205.0,65.0,162.0,7.3,3591.0,2.0,85.0,Sedentary,Neutral
18.0,Female,9807.0,54.0,140.0,8.4,4000.0,10.0,40.0,Sedentary,Sad
32.0,Female,4826.0,76.0,138.0,4.6,2962.0,5.0,80.0,Moderate,Neutral
39.0,Female,3763.0,63.0,93.0,6.5,2719.0,5.0,69.0,Sedentary,Neutral
52.0,Female,9595.0,81.0,124.0,6.4,4000.0,6.0,71.0,Sedentary,Sad
28.0,Female,7791.0,62.0,127.0,7.6,3962.0,6.0,76.0,Moderate,Neutral
25.0,Female,7991.0,58.0,112.0,6.4,3753.0,7.0,73.0,Moderate,Happy
28.0,Female,5607.0,62.0,97.0,4.7,3217.0,5.0,77.0,Moderate,Neutral
45.0,Male,9173.0,64.0,126.0,6.5,4000.0,3.0,82.0,Intense,Happy
38.0,Male,6720.0,62.0,92.0,8.2,3307.0,5.0,79.0,Moderate,Sad
28.0,Female,7860.0,59.0,114.0,7.6,3832.0,0.0,97.0,Sedentary,Neutral
41.0,Other,6539.0,61.0,128.0,8.3,3495.0,4.0,77.0,Moderate,Neutral
36.0,Female,5593.0,78.0,124.0,4.7,3191.0,8.0,56.0,Moderate,Neutral
46.0,Female,7378.0,62.0,124.0,5.8,3675.0,6.0,74.0,Moderate,Neutral
26.0,Female,11556.0,82.0,116.0,5.5,4000.0,1.0,96.0,Intense,Sad
31.0,Male,6581.0,73.0,108.0,6.0,3448.0,6.0,70.0,Moderate,Neutral
30.0,Male,7620.0,64.0,112.0,9.2,3698.0,6.0,62.0,Intense,Sad
18.0,Male,7204.0,70.0,80.0,6.1,3483.0,0.0,100.0,Sedentary,Happy
38.0,Male,6088.0,60.0,103.0,5.5,3285.0,6.0,73.0,Moderate,Happy
38.0,Female,11687.0,73.0,131.0,6.2,4000.0,6.0,74.0,Sedentary,Sad
35.0,Female,3915.0,75.0,118.0,5.3,2721.0,6.0,76.0,Sedentary,Happy
32.0,Male,7743.0,69.0,138.0,4.5,3810.0,8.0,60.0,Sedentary,Neutral
18.0,Male,5469.0,60.0,114.0,7.2,3427.0,5.0,71.0,Moderate,
29.0,Male,9701.0,69.0,150.0,7.9,4000.0,7.0,68.0,Sedentary,Sad
30.0,Male,8401.0,59.0,117.0,6.4,3976.0,8.0,53.0,Sedentary,
25.0,Male,11546.0,53.0,139.0,8.5,4000.0,4.0,84.0,Sedentary,Neutral
33.0,Male,10203.0,67.0,133.0,4.9,4000.0,5.0,71.0,Moderate,Neutral
39.0,Male,8244.0,51.0,,5.7,4000.0,9.0,57.0,Sedentary,Neutral
57.0,Female,10233.0,61.0,140.0,6.3,4000.0,10.0,44.0,Sedentary,Neutral
37.0,Male,10507.0,67.0,139.0,8.6,4000.0,5.0,70.0,Sedentary,Sad
38.0,Female,5262.0,77.0,116.0,6.7,3043.0,7.0,61.0,Sedentary,Sad
34.0,Female,10319.0,59.0,117.0,8.7,4000.0,4.0,81.0,Sedentary,Sad
18.0,Male,8891.0,56.0,126.0,5.7,4000.0,3.0,88.0,Intense,Happy
34.0,Female,9468.0,71.0,144.0,3.9,4000.0,3.0,79.0,Sedentary,Neutral
35.0,Female,6777.0,66.0,128.0,5.6,3427.0,,63.0,Sedentary,Happy
64.0,Male,5436.0,65.0,143.0,7.6,3245.0,8.0,58.0,Moderate,Happy
32.0,Male,4897.0,53.0,125.0,6.0,2852.0,6.0,71.0,Sedentary,Happy
38.0,Female,1000.0,73.0,109.0,6.3,1727.0,2.0,93.0,Moderate,Happy
34.0,Male,5871.0,48.0,99.0,5.2,3179.0,,79.0,Intense,Sad
20.0,Male,15317.0,66.0,129.0,6.6,4000.0,5.0,73.0,Moderate,Neutral
48.0,Male,10467.0,,111.0,10.4,4000.0,4.0,80.0,Moderate,Neutral
44.0,Male,8955.0,65.0,131.0,4.4,4000.0,8.0,56.0,Intense,Neutral
44.0,Female,10883.0,63.0,123.0,6.5,4000.0,1.0,97.0,Sedentary,Neutral
24.0,Female,7219.0,56.0,113.0,6.9,3653.0,7.0,65.0,Intense,Neutral
51.0,Female,6824.0,60.0,105.0,5.9,3686.0,7.0,61.0,Sedentary,Sad
18.0,Male,7129.0,82.0,112.0,4.0,3648.0,0.0,95.0,Moderate,Neutral
42.0,Female,5791.0,60.0,103.0,8.1,3129.0,5.0,82.0,Intense,Neutral
61.0,Female,6038.0,68.0,105.0,6.1,3112.0,5.0,75.0,,Sad
23.0,Female,7952.0,58.0,81.0,6.1,4000.0,8.0,62.0,Moderate,Happy
28.0,Male,8193.0,62.0,86.0,7.9,3980.0,8.0,55.0,Sedentary,Happy
36.0,Male,11978.0,51.0,122.0,5.8,4000.0,7.0,66.0,Moderate,Sad
28.0,Female,11073.0,64.0,150.0,6.7,4000.0,7.0,79.0,Sedentary,Happy
18.0,Male,3543.0,62.0,123.0,7.4,2449.0,5.0,76.0,Sedentary,Neutral
35.0,Female,7116.0,75.0,122.0,9.1,3554.0,8.0,66.0,Intense,Neutral
22.0,Female,4683.0,58.0,137.0,7.0,2932.0,2.0,91.0,Moderate,Sad
40.0,Male,1000.0,61.0,122.0,7.7,1799.0,3.0,84.0,Sedentary,Neutral
23.0,Female,8261.0,72.0,122.0,3.6,3979.0,2.0,92.0,Moderate,Neutral
53.0,Male,9731.0,64.0,99.0,8.7,4000.0,10.0,49.0,Moderate,Happy
25.0,Female,8213.0,63.0,119.0,6.1,4000.0,5.0,82.0,Moderate,Happy
31.0,Other,9310.0,63.0,111.0,8.8,4000.0,4.0,82.0,Moderate,Neutral
44.0,Female,6995.0,57.0,117.0,7.0,3681.0,0.0,100.0,Intense,Happy
20.0,Female,4916.0,61.0,112.0,6.8,2956.0,6.0,78.0,Moderate,Sad
37.0,Female,6898.0,65.0,112.0,6.2,3608.0,3.0,93.0,Moderate,Happy
50.0,Female,12106.0,55.0,116.0,6.7,4000.0,7.0,66.0,Moderate,Happy
18.0,Female,9123.0,56.0,122.0,7.8,4000.0,4.0,81.0,Intense,Happy
37.0,Male,3437.0,74.0,105.0,6.7,2492.0,0.0,100.0,Moderate,Sad
38.0,Male,8390.0,69.0,115.0,6.9,4000.0,6.0,68.0,Moderate,Neutral
44.0,Female,11821.0,67.0,118.0,7.1,4000.0,1.0,88.0,Sedentary,Happy
20.0,Male,10284.0,,122.0,5.5,4000.0,1.0,96.0,Intense,Neutral
19.0,Female,11860.0,66.0,137.0,6.8,4000.0,2.0,87.0,Moderate,Happy
41.0,Female,3534.0,45.0,135.0,7.7,2573.0,6.0,74.0,Moderate,Neutral
38.0,Male,8377.0,55.0,136.0,5.1,3979.0,8.0,55.0,Moderate,Neutral
38.0,Male,6955.0,70.0,131.0,5.7,3904.0,6.0,71.0,Sedentary,Sad
39.0,Female,9784.0,59.0,162.0,7.2,4000.0,10.0,45.0,Moderate,Neutral
26.0,Female,5452.0,63.0,122.0,8.5,3050.0,8.0,53.0,Sedentary,Sad
37.0,Male,5400.0,67.0,104.0,3.8,3068.0,8.0,57.0,Intense,Happy
38.0,Female,7990.0,58.0,147.0,9.4,4000.0,1.0,88.0,Sedentary,Sad
26.0,Female,5234.0,60.0,122.0,10.2,3135.0,8.0,58.0,Moderate,Happy
57.0,Female,8778.0,62.0,145.0,8.8,4000.0,1.0,90.0,Sedentary,Neutral
40.0,Female,1882.0,66.0,117.0,5.9,2071.0,5.0,82.0,Sedentary,Sad
20.0,Male,11527.0,51.0,143.0,8.7,4000.0,9.0,56.0,Sedentary,Neutral
42.0,Female,1000.0,67.0,156.0,6.9,1701.0,3.0,86.0,Sedentary,Sad
23.0,Male,10714.0,64.0,98.0,6.7,4000.0,1.0,92.0,Sedentary,Sad
44.0,Male,6257.0,65.0,107.0,6.5,3435.0,7.0,72.0,Intense,Neutral
48.0,Male,3651.0,59.0,131.0,6.8,2556.0,6.0,71.0,Sedentary,Neutral
25.0,Male,8509.0,64.0,134.0,6.6,3985.0,9.0,52.0,Sedentary,Happy
46.0,Female,,72.0,122.0,6.5,4000.0,9.0,57.0,Moderate,Happy
39.0,Male,11475.0,70.0,122.0,8.8,4000.0,4.0,76.0,Moderate,Neutral
44.0,Female,11377.0,74.0,108.0,8.0,4000.0,8.0,60.0,Moderate,Sad
57.0,Female,5424.0,57.0,138.0,7.5,3089.0,5.0,77.0,Sedentary,Happy
32.0,Female,8614.0,70.0,138.0,6.3,4000.0,7.0,62.0,Sedentary,Neutral
25.0,Female,2665.0,60.0,130.0,7.5,1993.0,0.0,100.0,Moderate,Sad
24.0,Other,8237.0,46.0,99.0,5.4,3926.0,5.0,72.0,Moderate,Happy
25.0,Male,9014.0,72.0,123.0,9.0,4000.0,4.0,72.0,Sedentary,Sad
34.0,Female,6874.0,71.0,118.0,8.4,3442.0,7.0,69.0,Sedentary,Sad
39.0,Male,2492.0,76.0,118.0,8.0,2127.0,1.0,98.0,Intense,Neutral
38.0,Female,6218.0,53.0,96.0,4.5,3550.0,7.0,58.0,Sedentary,Neutral
44.0,Male,13721.0,66.0,111.0,6.5,4000.0,7.0,65.0,Moderate,Neutral
35.0,Female,9173.0,,122.0,6.5,4000.0,5.0,80.0,Moderate,Happy
52.0,Male,6545.0,74.0,122.0,7.0,3465.0,5.0,82.0,Sedentary,Neutral
31.0,Male,7522.0,53.0,119.0,7.6,3751.0,5.0,75.0,Sedentary,Happy
67.0,Female,9153.0,62.0,111.0,4.8,4000.0,4.0,79.0,Sedentary,Neutral
42.0,Female,3352.0,65.0,122.0,8.5,2552.0,9.0,57.0,Moderate,Neutral
24.0,Male,,70.0,106.0,8.2,2505.0,8.0,60.0,Moderate,Neutral
22.0,Female,5791.0,68.0,126.0,9.2,3271.0,4.0,81.0,Sedentary,Happy
40.0,Male,6466.0,64.0,128.0,6.0,3504.0,2.0,94.0,Intense,Happy
32.0,Female,13381.0,62.0,107.0,7.6,4000.0,10.0,53.0,Moderate,
43.0,Female,8211.0,64.0,133.0,8.8,4000.0,4.0,75.0,Sedentary,Happy
40.0,Male,6449.0,71.0,108.0,6.1,3508.0,10.0,64.0,Moderate,Neutral
34.0,Male,8169.0,58.0,123.0,6.4,3766.0,6.0,66.0,Sedentary,Neutral
24.0,Male,1925.0,63.0,132.0,4.5,2125.0,5.0,73.0,Moderate,Neutral
18.0,Male,5287.0,63.0,119.0,5.6,2976.0,5.0,81.0,Moderate,Sad
29.0,Female,5754.0,48.0,112.0,3.0,3169.0,5.0,76.0,Sedentary,Happy
45.0,Female,4938.0,49.0,120.0,6.0,2827.0,7.0,58.0,Sedentary,Happy
37.0,Other,11703.0,53.0,130.0,7.2,4000.0,6.0,81.0,Moderate,Happy
20.0,Male,9980.0,63.0,125.0,5.0,4000.0,7.0,58.0,Intense,Neutral
37.0,Female,4368.0,69.0,113.0,8.3,2927.0,2.0,89.0,Moderate,Neutral
39.0,Male,4199.0,60.0,114.0,6.5,2627.0,5.0,73.0,Moderate,Happy
24.0,Female,4221.0,52.0,119.0,6.9,2754.0,0.0,96.0,Sedentary,Happy
36.0,Male,7439.0,72.0,133.0,8.6,3779.0,8.0,57.0,Moderate,Happy
35.0,Other,8600.0,67.0,125.0,7.5,4000.0,6.0,71.0,Moderate,Neutral
21.0,Male,9248.0,63.0,117.0,6.4,4000.0,2.0,89.0,Sedentary,Neutral
39.0,Female,4956.0,66.0,114.0,6.5,2860.0,8.0,60.0,Moderate,Neutral
41.0,Male,7464.0,56.0,99.0,5.5,3709.0,0.0,100.0,Intense,Neutral
47.0,Female,7832.0,73.0,153.0,7.4,3843.0,7.0,69.0,Sedentary,Sad
47.0,Female,11590.0,67.0,115.0,4.0,4000.0,7.0,68.0,Moderate,Neutral
18.0,Female,10322.0,63.0,110.0,5.9,4000.0,0.0,100.0,Intense,Neutral
23.0,Female,3694.0,62.0,139.0,5.5,2623.0,5.0,81.0,Intense,Sad
41.0,Male,2348.0,65.0,113.0,6.1,2427.0,5.0,78.0,Moderate,Neutral
41.0,Male,7666.0,68.0,,6.1,3697.0,5.0,79.0,Moderate,Neutral
41.0,Female,6088.0,51.0,118.0,6.4,3196.0,5.0,77.0,Sedentary,Happy
70.0,Male,5117.0,58.0,115.0,4.9,3176.0,3.0,84.0,Moderate,Neutral
41.0,Female,5730.0,62.0,127.0,8.1,3194.0,4.0,84.0,Moderate,Sad
48.0,Female,9738.0,62.0,125.0,4.9,4000.0,6.0,68.0,Moderate,Neutral
46.0,Male,3488.0,59.0,105.0,8.2,2542.0,9.0,48.0,Sedentary,Neutral
42.0,Female,13545.0,71.0,116.0,4.8,4000.0,6.0,71.0,Sedentary,Happy
31.0,Female,5847.0,59.0,130.0,3.6,3321.0,4.0,76.0,Moderate,Neutral
44.0,Female,9897.0,56.0,127.0,10.7,4000.0,6.0,73.0,Moderate,Happy
25.0,Female,5992.0,61.0,117.0,8.3,3358.0,0.0,100.0,Sedentary,Neutral
32.0,Male,3445.0,77.0,105.0,6.2,2457.0,2.0,85.0,Moderate,Sad
29.0,Female,7562.0,65.0,139.0,9.7,3698.0,3.0,90.0,Sedentary,Happy
35.0,Male,4237.0,61.0,130.0,6.5,2711.0,9.0,55.0,Sedentary,Neutral
62.0,Female,8441.0,62.0,159.0,8.7,4000.0,5.0,78.0,Sedentary,Neutral
18.0,Male,7924.0,50.0,121.0,7.1,3999.0,5.0,71.0,Moderate,Neutral
43.0,Male,5916.0,63.0,129.0,4.2,3446.0,5.0,72.0,Moderate,Sad
18.0,Female,8454.0,66.0,124.0,7.2,3968.0,4.0,83.0,Moderate,Neutral
29.0,Male,11116.0,68.0,98.0,5.4,4000.0,6.0,60.0,Moderate,Happy
48.0,Other,7670.0,63.0,124.0,6.9,3737.0,4.0,79.0,Intense,Neutral
35.0,Male,5814.0,59.0,92.0,8.4,3126.0,6.0,68.0,Moderate,Sad
22.0,Male,9199.0,72.0,108.0,5.8,4000.0,7.0,58.0,Moderate,Neutral
26.0,Male,9324.0,62.0,124.0,8.3,4000.0,0.0,97.0,Moderate,Happy
43.0,Male,7145.0,57.0,119.0,7.8,3567.0,3.0,84.0,Moderate,Neutral
26.0,Female,12120.0,58.0,80.0,6.8,4000.0,8.0,69.0,Sedentary,Neutral
37.0,Female,7101.0,62.0,123.0,4.2,3646.0,0.0,90.0,Moderate,Neutral
35.0,Male,12463.0,62.0,102.0,4.8,4000.0,2.0,86.0,Sedentary,Happy
27.0,Male,6035.0,60.0,130.0,8.8,3386.0,3.0,86.0,Intense,Sad
60.0,Male,10551.0,67.0,118.0,5.3,4000.0,5.0,73.0,Moderate,Neutral
42.0,Male,7340.0,64.0,138.0,6.0,3678.0,9.0,58.0,Sedentary,Sad
18.0,Female,8805.0,72.0,96.0,8.2,4000.0,5.0,76.0,Sedentary,Neutral
37.0,Female,1921.0,65.0,92.0,7.1,2049.0,7.0,66.0,Sedentary,Neutral
27.0,Female,14506.0,62.0,,6.6,4000.0,,43.0,Intense,Neutral
45.0,Other,8950.0,60.0,139.0,8.3,4000.0,6.0,67.0,Intense,Neutral
25.0,Female,11050.0,61.0,158.0,7.2,4000.0,4.0,77.0,Sedentary,Sad
33.0,Female,3866.0,56.0,124.0,7.8,2632.0,7.0,67.0,Moderate,Sad
41.0,Male,8514.0,63.0,124.0,5.4,3920.0,5.0,69.0,Moderate,Neutral
,Female,7461.0,68.0,124.0,8.7,3886.0,7.0,68.0,Sedentary,Neutral
20.0,Female,4827.0,71.0,131.0,6.5,3053.0,6.0,76.0,Moderate,Neutral
30.0,Male,11855.0,66.0,120.0,7.5,4000.0,7.0,62.0,Intense,Neutral
29.0,Female,8438.0,92.0,91.0,5.9,4000.0,6.0,71.0,Sedentary,Neutral
27.0,Other,7837.0,67.0,114.0,7.6,3844.0,10.0,50.0,Sedentary,Neutral
56.0,Female,9874.0,51.0,113.0,7.3,4000.0,10.0,47.0,Sedentary,Neutral
39.0,Male,5435.0,68.0,111.0,6.8,3053.0,4.0,89.0,Sedentary,Sad
19.0,Female,8483.0,74.0,131.0,8.4,4000.0,5.0,69.0,Sedentary,Sad
46.0,Other,8270.0,62.0,146.0,7.9,4000.0,7.0,66.0,Moderate,Neutral
60.0,Male,8402.0,53.0,119.0,9.1,3905.0,8.0,66.0,Sedentary,Happy
47.0,Female,11081.0,50.0,103.0,6.2,4000.0,1.0,96.0,Sedentary,Neutral
18.0,Female,6726.0,64.0,115.0,8.5,3542.0,7.0,,Intense,Sad
29.0,Male,6410.0,56.0,103.0,8.3,3523.0,7.0,69.0,Moderate,Neutral
50.0,Female,6156.0,63.0,118.0,5.2,3515.0,1.0,100.0,Sedentary,Neutral
26.0,Male,6032.0,61.0,95.0,5.8,3327.0,6.0,63.0,Intense,Sad
40.0,Female,11307.0,76.0,113.0,6.7,4000.0,8.0,61.0,Sedentary,Happy
44.0,Female,7787.0,71.0,131.0,8.4,3977.0,5.0,82.0,Sedentary,Happy
23.0,Female,11068.0,60.0,119.0,7.9,4000.0,9.0,51.0,Sedentary,Neutral
34.0,Male,8813.0,61.0,127.0,8.4,4000.0,8.0,58.0,Intense,Happy
18.0,Female,5377.0,72.0,127.0,6.3,3169.0,5.0,74.0,Sedentary,Neutral
22.0,Other,3479.0,65.0,105.0,6.4,2592.0,5.0,66.0,Sedentary,Happy
31.0,Male,3643.0,67.0,119.0,7.9,2537.0,2.0,89.0,Intense,Sad
20.0,Female,5327.0,74.0,136.0,6.6,3117.0,4.0,82.0,Sedentary,Neutral
54.0,Male,11059.0,58.0,123.0,6.4,4000.0,3.0,87.0,Intense,Neutral
18.0,Male,11902.0,72.0,125.0,6.1,4000.0,10.0,49.0,Moderate,Sad
29.0,Female,8278.0,61.0,116.0,8.0,4000.0,4.0,84.0,Moderate,Happy
36.0,Female,10780.0,47.0,106.0,7.9,4000.0,3.0,99.0,Intense,Sad
52.0,Female,6335.0,55.0,117.0,9.7,3257.0,5.0,69.0,Sedentary,Neutral
18.0,Male,6116.0,57.0,123.0,6.0,3386.0,2.0,85.0,Sedentary,Happy
48.0,Male,10312.0,75.0,119.0,7.5,4000.0,5.0,74.0,Intense,Neutral
35.0,Female,8498.0,63.0,117.0,8.0,4000.0,2.0,88.0,Sedentary,Happy
23.0,Male,10200.0,62.0,118.0,6.0,4000.0,2.0,96.0,Moderate,Neutral
40.0,Male,8153.0,76.0,129.0,7.4,3981.0,7.0,71.0,Sedentary,Neutral
37.0,Female,6873.0,,117.0,6.0,3388.0,3.0,81.0,Sedentary,Happy
27.0,Female,7352.0,61.0,106.0,8.8,3843.0,8.0,67.0,Intense,Neutral
35.0,Male,8921.0,65.0,112.0,6.7,4000.0,8.0,62.0,Moderate,Happy
30.0,Male,8719.0,64.0,135.0,8.3,4000.0,9.0,56.0,Moderate,Sad
36.0,Female,5204.0,67.0,122.0,6.2,3046.0,5.0,80.0,Intense,Neutral
42.0,Other,7634.0,69.0,103.0,5.5,3544.0,9.0,53.0,Intense,Happy
54.0,Male,3438.0,58.0,125.0,10.1,2598.0,4.0,71.0,Sedentary,Neutral
20.0,Female,6952.0,50.0,108.0,8.1,3621.0,8.0,67.0,Sedentary,Neutral
60.0,Male,5237.0,68.0,120.0,6.9,2965.0,8.0,57.0,Sedentary,Neutral
18.0,Female,1000.0,50.0,135.0,5.7,1831.0,6.0,72.0,Moderate,Sad
33.0,Male,14630.0,67.0,108.0,7.4,4000.0,3.0,85.0,Sedentary,Happy
42.0,Female,5683.0,70.0,103.0,10.2,3106.0,10.0,52.0,Moderate,Happy
38.0,Female,5176.0,74.0,126.0,6.9,3025.0,5.0,86.0,Moderate,Sad
27.0,Female,12868.0,63.0,118.0,6.0,4000.0,6.0,72.0,Sedentary,Happy
32.0,Female,4483.0,81.0,122.0,5.8,2832.0,8.0,56.0,Moderate,Sad
29.0,Male,3645.0,53.0,136.0,4.9,2615.0,5.0,74.0,Sedentary,Happy
27.0,Female,7383.0,76.0,110.0,5.5,3705.0,10.0,48.0,Moderate,Sad
45.0,Male,6515.0,58.0,124.0,5.5,3589.0,9.0,54.0,Intense,Sad
39.0,Male,6081.0,65.0,123.0,5.9,3175.0,8.0,50.0,Sedentary,Neutral
26.0,Male,5248.0,66.0,100.0,8.2,2951.0,0.0,100.0,Intense,Sad
45.0,Female,7434.0,75.0,129.0,6.4,3910.0,6.0,60.0,Intense,Happy
